name,unit,multiplier,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"oil","Oil, thousand barrels daily",365000,31798,34563,37113,40430,43627,48056,50839,53662,58460,58613,55822,60410,62716,63338,66061,62959,59547,57312,56615,57696,57459,60435,60745,63111,64002,65385,65204,65716,65978,67073,67990,69845,72101,73457,72293,74983,75213,74991,77639,81054,82107,82593,82383,82955,81262,83296,84049,86204,86754
"coal","Coal, million tonnes",1000000,,,,,,,,,,,,,,,,,3836.3,3980.3,3986.9,4191.1,4441.2,4549.1,4650.3,4756.0,4838.5,4739.9,4556.9,4519.0,4396.0,4484.1,4605.0,4679.7,4729.7,4651.0,4638.1,4701.4,4915.4,4957.0,5312.3,5725.4,6050.6,6361.1,6593.0,6828.8,6906.1,7261.6,7708.0,7893.3,7896.4
"gas","Gas, billion cubic metres",1000000000,,,,,,992.3,1061.1,1113.5,1166.1,1185.6,1188.8,1238.0,1289.0,1331.1,1418.4,1431.9,1456.3,1458.9,1461.6,1591.5,1644.4,1691.4,1776.0,1856.4,1917.0,1983.3,2006.6,2025.5,2047.5,2079.3,2113.6,2215.1,2214.1,2266.6,2328.5,2410.3,2479.5,2527.2,2621.3,2702.8,2778.6,2881.8,2962.7,3068.5,2981.0,3190.8,3287.7,3343.3,3369.9
